"18, 17, 15",0072190000000000000003D6,007219000000000000000A27,007219000000000000000AD2
11,007219000000000000000500,007219000000000000000552,0441450000000000000024B8
12,00721900000000000000050D,007219000000000000000A5C,0072190000000000000003F9
13,007219000000000000000511,007219000000000000000A9B,0072190000000000000004B0
21,00721900000000000000052D,0072190000000000000004C5,00721900000000000000041E
22,00721900000000000000041B,007219000000000000000AAF,007219000000000000000492
23,00681500000000000000150F,0072190000000000000003AD,00721900000000000000049E
24,00681500000000000000149B,0072190000000000000004DD,007219000000000000000C1A
31,007219000000000000000C15,007219000000000000000CD5,007219000000000000000C2E
32,007219000000000000000A8E,007219000000000000000C58,007219000000000000000B59
33,007219000000000000000CAD,007219000000000000000DDE,007219000000000000000BE3
34,007219000000000000000ADF,007219000000000000000DC8,007219000000000000000E20
41,0072190000000000000003CD,007219000000000000000BAB,007219000000000000000A31
42,007219000000000000000557,007219000000000000000B15,00721900000000000000054L
43,007219000000000000000BB6,044145000000000000002413,00721900000000000000054C
44,0072190000000000000003DC,0072190000000000000003B4,044145000000000000002624
51,04414500000000000000232F,00721900000000000000049C,00721900000000000000048D
52,0441450000000000000022C9,044145000000000000002354,007219000000000000000A4E
53,007219000000000000000B61,0072190000000000000003FF,00721900000000000000037D
54,0072190000000000000003CF,007219000000000000000A03,007219000000000000000D86
55,04414500000000000000234F,007219000000000000000B0F,007219000000000000000CEF
56,044145000000000000002448,04414500000000000000261C,044145000000000000002DCA
57,044145000000000000002591,007219000000000000000475,007219000000000000000478
58,00721900000000000000043B,0072190000000000000004F1,0072190000000000000003E2
61,007219000000000000000439,006815000000000000001684,00721900000000000000040F
62,007219000000000000000483,007219000000000000000399,0068150000000000000015DB
63,006815000000000000001571,007219000000000000000414,007219000000000000000409
64,007219000000000000000445,00721900000000000000049F,007219000000000000000413
65,0072190000000000000004ED,00721900000000000000040D,0072190000000000000003B9
66,0072190000000000000003D8,0072190000000000000004E5,007219000000000000000412
67,007219000000000000000BDA,00721900000000000000045D,00721900000000000000039A
68,007219000000000000000444,0072190000000000000004E3,007219000000000000000432
46,007219000000000000000B2E,007219000000000000000C17,0072190000000000000003EA
47,007219000000000000000D3B,0072190000000000000004F4,007219000000000000000AA7
111-112,007219000000000000000BB4,007219000000000000000ABD,0072190000000000000004C6
113-114,0072190000000000000003F2,007219000000000000000B03,00721900000000000000054E
120-121,007219000000000000000416,007219000000000000000441,0072190000000000000003E1
122,007219000000000000000B05,007219000000000000000A5A,007219000000000000000A2E
123-124,007219000000000000000519,007219000000000000000BAC,0072190000000000000003C9
125-126,0072190000000000000003E9,007219000000000000000C88,007219000000000000000BDE
161,0441450000000000000025C1,0441450000000000000022ED,044145000000000000002266
162,0441450000000000000022CB,044145000000000000002661,04414500000000000000233D
163,0441450000000000000020E2,0441450000000000000022B0,044145000000000000002481
164,0441450000000000000024DF,044145000000000000002571,044145000000000000002542
181,0441450000000000000025AF,044145000000000000002550,044145000000000000002368
182,0441450000000000000021B6,044145000000000000002200,044145000000000000002179
183,044145000000000000002554,04414500000000000000209C,044145000000000000002213
184,04414500000000000000164A,0441450000000000000025C6,044145000000000000002627
