2022-04-01 21:07:22 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-01 21:07:24 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-01 21:07:24 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-01 21:07:26 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065
2022-04-01 21:07:36 EPC: 04414500000000000000232F, TID: E280110C2000748DEAC90A15
2022-04-01 21:07:37 EPC: 04414500000000000000232F, TID: E280110C2000748DEAC90A15
2022-04-01 21:07:47 EPC: 00721900000000000000049C, TID: E280110520005A99D1420065
2022-04-01 21:07:48 EPC: 00721900000000000000049C, TID: E280110520005A99D1420065
2022-04-01 21:07:50 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065
2022-04-01 21:07:57 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065
2022-04-01 21:07:58 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065
2022-04-01 21:08:04 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065
2022-04-01 21:08:05 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065
2022-04-01 21:08:06 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065
2022-04-01 21:08:07 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065
2022-04-01 21:08:10 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-01 21:08:26 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-01 21:08:31 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-01 21:08:32 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:08:33 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:08:34 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-01 21:08:34 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:08:42 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11
2022-04-01 21:08:43 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11
2022-04-01 21:08:52 EPC: 044145000000000000002591, TID: E280110C2000754EEAFC0A15
2022-04-01 21:08:52 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:08:53 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:08:54 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:08:55 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:08:56 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:08:57 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:08:58 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:08:59 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:01 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:02 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:03 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:04 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:05 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:13 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:14 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:15 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:16 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15
2022-04-01 21:09:24 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11
2022-04-01 21:09:26 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11
2022-04-01 21:09:34 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:09:36 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:09:37 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-01 21:09:48 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-01 21:09:50 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:09:51 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:10:00 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11
2022-04-01 21:10:01 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11
