2022-04-02 21:00:04 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-02 21:00:05 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-02 21:00:06 EPC: 007219000000000000000478, TID: E280110520005659D12D0065
2022-04-02 21:00:08 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-02 21:00:09 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-02 21:00:29 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-02 21:00:30 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-02 21:00:31 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-02 21:00:40 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065
2022-04-02 21:00:41 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065
2022-04-02 21:00:52 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:00:53 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:00:55 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:00:56 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:01:03 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:01:04 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:01:05 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:01:06 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-02 21:01:31 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065
2022-04-02 21:01:32 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065
2022-04-02 21:01:42 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-02 21:01:43 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-02 21:01:55 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065
2022-04-02 21:01:58 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-02 21:01:59 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
