2022-03-31 21:21:05 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11, ANT: 01
2022-03-31 21:21:15 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15, ANT: 01
2022-03-31 21:21:16 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15, ANT: 01
2022-03-31 21:21:27 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-03-31 21:21:28 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-03-31 21:21:29 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-03-31 21:21:56 EPC: 04414500000000000000232F, TID: E280110C2000748DEAC90A15, ANT: 01
2022-03-31 21:22:07 EPC: 00721900000000000000049C, TID: E280110520005A99D1420065, ANT: 01
2022-03-31 21:22:17 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-03-31 21:22:18 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-03-31 21:22:20 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-03-31 21:22:25 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-03-31 21:22:26 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-03-31 21:22:28 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-03-31 21:22:28 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-03-31 21:22:29 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-03-31 21:22:53 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-03-31 21:22:54 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-03-31 21:23:02 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065, ANT: 01
2022-03-31 21:23:14 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065, ANT: 01
2022-03-31 21:23:15 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065, ANT: 01
2022-03-31 21:23:17 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065, ANT: 01
2022-03-31 21:23:44 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-03-31 21:23:56 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065, ANT: 01
2022-03-31 21:23:57 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065, ANT: 01
2022-03-31 21:24:04 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065, ANT: 01
2022-03-31 21:24:05 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065, ANT: 01
2022-03-31 21:24:41 EPC: 0072190000000000000003CF, TID: E280110520005046D2E90065, ANT: 01
2022-03-31 21:24:43 EPC: 0072190000000000000003CF, TID: E280110520005046D2E90065, ANT: 01
2022-03-31 21:24:53 EPC: 007219000000000000000A03, TID: E28011052000544BD2590065, ANT: 01
2022-03-31 21:25:05 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:06 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:08 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:12 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:13 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:15 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:15 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:18 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-03-31 21:25:28 EPC: 044145000000000000002591, TID: E280110C2000754EEAFC0A15, ANT: 01
2022-03-31 21:25:29 EPC: 044145000000000000002591, TID: E280110C2000754EEAFC0A15, ANT: 01
2022-03-31 21:25:39 EPC: 007219000000000000000475, TID: E280110520005ADAD1420065, ANT: 01
2022-03-31 21:25:52 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:25:53 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:25:55 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:25:55 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:25:56 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:25:58 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:25:58 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:25:59 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:01 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:01 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:02 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:04 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:04 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:05 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:07 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:07 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:26:09 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-03-31 21:27:18 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065, ANT: 01
2022-03-31 21:27:28 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:27:29 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:27:39 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:27:40 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:27:42 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:27:49 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:27:50 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:28:00 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:28:01 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:28:11 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065, ANT: 01
2022-03-31 21:28:12 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065, ANT: 01
2022-03-31 21:28:35 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065, ANT: 01
2022-03-31 21:28:36 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065, ANT: 01
2022-03-31 21:28:44 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:28:45 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:28:47 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:28:57 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:28:58 EPC: 007219000000000000000439, TID: E28011052000591CD2270065, ANT: 01
2022-03-31 21:29:00 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:29:00 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:29:07 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:29:08 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:29:10 EPC: 007219000000000000000432, TID: E280110520005719D25A0065, ANT: 01
2022-03-31 21:29:18 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065, ANT: 01
2022-03-31 21:29:27 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065, ANT: 01
2022-03-31 21:29:28 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065, ANT: 01
2022-03-31 21:29:44 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:30:01 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:30:02 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:30:04 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:30:09 EPC: 0072190000000000000004E5, TID: E280110520005359D1590065, ANT: 01
2022-03-31 21:30:10 EPC: 0072190000000000000004E5, TID: E280110520005359D1590065, ANT: 01
2022-03-31 21:30:21 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:22 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:24 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:25 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:27 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:27 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:30 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:30 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:31 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:34 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:36 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:36 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:37 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:41 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:30:43 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:30:46 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
2022-03-31 21:30:49 EPC: 007219000000000000000412, TID: E280110520005346D2E90065, ANT: 01
2022-03-31 21:30:59 EPC: 0072190000000000000004E5, TID: E280110520005359D1590065, ANT: 01
2022-03-31 21:31:00 EPC: 0072190000000000000004E5, TID: E280110520005359D1590065, ANT: 01
2022-03-31 21:31:07 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:31:08 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065, ANT: 01
2022-03-31 21:31:34 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:31:35 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-03-31 21:31:43 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065, ANT: 01
2022-03-31 21:31:44 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065, ANT: 01
2022-03-31 21:31:53 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065, ANT: 01
