2022-04-05 08:11:58 EPC: 044145000000000000002277, TID: E280110C2000749CBB870A11, ANT: 01
2022-04-05 08:11:59 EPC: 00721900000000000000054C, TID: E28011052000591CD2720065, ANT: 01
2022-04-05 08:12:10 EPC: 007219000000000000000A8E, TID: E280110520005949D2AD0065, ANT: 01
2022-04-05 08:12:33 EPC: 00721900000000000000041B, TID: E28011052000554BD2550065, ANT: 01
2022-04-05 08:13:47 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11, ANT: 01
2022-04-05 08:13:54 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15, ANT: 01
2022-04-05 08:14:01 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:02 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:07 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:09 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:10 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:11 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:15 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:16 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:17 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:18 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:19 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:20 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:14:22 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:22 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:14:23 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:23 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:14:24 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:26 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:27 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:28 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:29 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:30 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:31 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:32 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:33 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:35 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:37 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:38 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:39 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:40 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:14:50 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15, ANT: 01
2022-04-05 08:14:57 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11, ANT: 01
2022-04-05 08:15:26 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065, ANT: 01
2022-04-05 08:15:28 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065, ANT: 01
2022-04-05 08:15:29 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065, ANT: 01
2022-04-05 08:15:30 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065, ANT: 01
2022-04-05 08:15:39 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065, ANT: 01
2022-04-05 08:15:48 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:15:49 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:15:50 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:15:52 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:15:59 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:16:00 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:16:01 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
